iter	Passed	Remaining
960	31891	1294
961	31918	1260
962	31946	1227
963	31974	1194
964	32000	1160
965	32030	1127
966	32056	1093
967	32081	1060
968	32109	1027
969	32136	993
970	32160	960
971	32189	927
972	32213	893
973	32239	860
974	32267	827
975	32294	794
976	32320	760
977	32347	727
978	32378	694
979	32410	661
980	32444	628
981	32480	595
982	32509	562
983	32540	529
984	32576	496
985	32611	463
986	32643	429
987	32679	396
988	32717	363
989	32747	330
990	32778	297
991	32803	264
992	32830	231
993	32857	198
994	32885	165
995	32908	132
996	32935	99
997	32960	66
998	32985	33
999	33011	0
