iter	Passed	Remaining
1060	57156	50583
1061	57196	50518
1062	57238	50453
1063	57281	50390
1064	57324	50327
1065	57364	50261
1066	57404	50195
1067	57445	50130
1068	57495	50072
1069	57535	50007
1070	57576	49942
1071	57620	49880
1072	57662	49816
1073	57702	49751
1074	57744	49687
1075	57786	49623
1076	57827	49558
1077	57867	49493
1078	57908	49428
1079	57948	49363
1080	57991	49300
1081	58033	49237
1082	58076	49174
1083	58120	49112
1084	58166	49052
1085	58212	48992
1086	58256	48931
1087	58304	48872
1088	58352	48814
1089	58394	48751
1090	58438	48690
1091	58485	48631
1092	58530	48570
1093	58573	48507
1094	58616	48445
1095	58661	48384
1096	58709	48326
1097	58758	48269
1098	58806	48212
1099	58858	48156
1100	58905	48098
1101	58958	48044
1102	59010	47989
1103	59058	47931
1104	59106	47873
1105	59151	47813
1106	59199	47755
1107	59245	47695
1108	59298	47642
1109	59345	47583
1110	59385	47519
1111	59429	47458
1112	59474	47397
1113	59518	47337
1114	59562	47276
1115	59606	47214
1116	59648	47152
1117	59689	47089
1118	59733	47028
1119	59775	46966
1120	59823	46908
1121	59872	46851
1122	59919	46793
1123	59971	46739
1124	60017	46680
1125	60066	46623
1126	60110	46562
1127	60156	46504
1128	60199	46443
1129	60239	46379
1130	60279	46315
1131	60321	46253
1132	60366	46194
1133	60409	46132
1134	60456	46074
1135	60502	46015
1136	60546	45955
1137	60586	45892
1138	60632	45833
1139	60676	45773
1140	60718	45711
1141	60762	45651
1142	60803	45589
1143	60846	45528
1144	60927	45495
1145	60975	45439
1146	61019	45378
1147	61063	45318
1148	61110	45261
1149	61156	45202
1150	61203	45145
1151	61250	45086
1152	61303	45034
1153	61350	44976
1154	61396	44917
1155	61440	44857
1156	61482	44796
1157	61521	44733
1158	61564	44672
1159	61607	44612
1160	61649	44551
1161	61696	44493
1162	61734	44429
1163	61775	44367
1164	61815	44305
1165	61854	44242
1166	61896	44181
1167	61940	44121
1168	61981	44060
1169	62021	43998
1170	62062	43936
1171	62103	43875
1172	62146	43815
1173	62185	43752
1174	62228	43692
1175	62269	43630
1176	62309	43568
1177	62350	43507
1178	62394	43448
1179	62437	43388
1180	62487	43333
1181	62534	43277
1182	62577	43216
1183	62617	43154
1184	62663	43097
1185	62708	43039
1186	62751	42979
1187	62793	42919
1188	62833	42857
1189	62876	42798
1190	62920	42739
1191	62957	42675
1192	63004	42619
1193	63048	42560
1194	63091	42500
1195	63132	42440
1196	63172	42378
1197	63214	42319
1198	63254	42257
1199	63296	42197
1200	63339	42138
1201	63379	42077
1202	63424	42019
1203	63466	41959
1204	63516	41904
1205	63567	41851
1206	63621	41799
1207	63679	41750
1208	63732	41697
1209	63779	41641
1210	63824	41583
